Question,Predicted Answer,Actual Answer,Normalized Predicted,Normalized Expected,Correct or Incorrect,SymPy Computed,Math Type,Response Time
Solve x^2 - 5x + 6 = 0,"[2, 3]","[2, 3]","[2, 3]","[2, 3]",Correct,True,equation,18.4646
Factor x^2 + 7x + 12,(x + 3)*(x + 4),(x + 3)*(x + 4),(x + 3)*(x + 4),(x + 3)*(x + 4),Correct,True,factoring,1.965
Simplify (x^2 - 9) / (x - 3),x + 3,x + 3,x + 3,x + 3,Correct,True,simplification,2.4066
Solve 2x + 3 = 11,4,4,4,4,Correct,True,equation,1.5881
Solve 3x - 7 = 2x + 5,12,12,12,12,Correct,True,equation,2.5848
"Solve the system of equations: x + y = 10, x - y = 4","x = 7, y = 3","{x: 7, y: 3}",,"{x: 7, y: 3}",Incorrect,False,system_of_equations,2.06
Find the derivative of x^3 + 2x^2 - 5x + 1,3*x**2 + 4*x - 5,3*x**2 + 4*x - 5,3*x**2 + 4*x - 5,3*x**2 + 4*x - 5,Correct,True,derivative,1.6064
Find the derivative of sin(x) * cos(x),cos(2*x),cos(2*x),cos(2*x),cos(2*x),Correct,True,derivative,4.7433
Find the derivative of e^(2x),2*exp(2*x),2*exp(2*x),2*exp(2*x),2*exp(2*x),Correct,True,derivative,10.1805
Find the derivative of ln(x^2 + 1),2*x/(x**2 + 1),2*x/(x**2 + 1),2*x/(x**2 + 1),2*x/(x**2 + 1),Correct,True,derivative,10.1031
Integrate x^2,x**3/3,x**3/3,x**3/3,x**3/3,Correct,True,integration,9.3952
Integrate sin(x),-cos(x),-cos(x),-cos(x),-cos(x),Correct,True,integration,9.1158
Integrate 1/x,log(x),log(x),log(x),log(x),Correct,True,integration,10.1687
Integrate e^x,exp(x),exp(x),exp(x),exp(x),Correct,True,integration,8.8787
Integrate 2x + 3,x**2 + 3*x,x**2 + 3*x,x**2 + 3*x,x**2 + 3*x,Correct,True,integration,9.3818
Find the limit of (x^2 - 1)/(x - 1) as x approaches 1,2,2,2,2,Correct,True,limit,12.2212
Find the limit of sin(x)/x as x approaches 0,1,1,1,1,Correct,True,limit,9.7802
Find the second derivative of x^4 - 3x^2 + 2x,12*x**2 - 6,12*x**2 - 6,12*x**2 - 6,12*x**2 - 6,Correct,True,second_derivative,10.0465
Simplify sin^2(x) + cos^2(x),1,1,1,1,Correct,True,simplification,7.988
Simplify tan(x) * cos(x),sin(x),sin(x),sin(x),sin(x),Correct,True,simplification,8.7666
"Solve sin(x) = 1/2 for x in [0, 2*pi)","frac{pi{6}, ((5pi)/(6))}","[pi/6, 5*pi/6]",,"[pi/6, 5*pi/6]",Incorrect,False,equation,8.8725
Expand (a + b)^3,a**3 + 3*a**2*b + 3*a*b**2 + b**3,a**3 + 3*a**2*b + 3*a*b**2 + b**3,a**3 + 3*a**2*b + 3*a*b**2 + b**3,a**3 + 3*a**2*b + 3*a*b**2 + b**3,Correct,True,expansion,10.6404
Find the integral of cos(x) from 0 to pi/2,1,1,1,1,Correct,True,definite_integral,10.7498
Differentiate x*e^x with respect to x,(x + 1)*exp(x),(x + 1)*exp(x),(x + 1)*exp(x),(x + 1)*exp(x),Correct,True,derivative,9.2425
Solve x^3 - 6x^2 + 11x - 6 = 0,"[1, 2, 3]","[1, 2, 3]","[1, 2, 3]","[1, 2, 3]",Correct,True,equation,9.5797
